monthly_pay_period_number,mqy-end_flag,pay_date,pay_date_sequence,pay_group_code,pay_group,pay_period_id,period_closed,period_end_date,period_start_date,period_type_code,period_type
1,None,2013-10-11 00:00:00,1,SALARY,Salaried Biweekly,979,Y,2013-10-05 00:00:00,2013-09-22 00:00:00,R,Reg
1,None,2013-10-11 00:00:00,1,HOURLY,Hourly BiWeekly,953,Y,2013-10-05 00:00:00,2013-09-22 00:00:00,R,Reg
1,None,2013-10-11 00:00:00,1,DOCTOR,Doctor BiWeekly,1005,Y,2013-10-05 00:00:00,2013-09-22 00:00:00,R,Reg
1,None,2013-09-13 00:00:00,1,SALARY,Salaried Biweekly,977,Y,2013-09-07 00:00:00,2013-08-25 00:00:00,R,Reg
1,None,2013-09-13 00:00:00,1,HOURLY,Hourly BiWeekly,951,Y,2013-09-07 00:00:00,2013-08-25 00:00:00,R,Reg
1,None,2013-09-13 00:00:00,1,DOCTOR,Doctor BiWeekly,1003,Y,2013-09-07 00:00:00,2013-08-25 00:00:00,R,Reg
1,None,2013-08-16 00:00:00,2,DOCTM,Doctor Monthly,1019,Y,2013-08-31 00:00:00,2013-08-01 00:00:00,R,Reg
1,None,2013-08-02 00:00:00,1,SALARY,Salaried Biweekly,974,Y,2013-07-27 00:00:00,2013-07-14 00:00:00,R,Reg
1,None,2013-08-02 00:00:00,1,HOURLY,Hourly BiWeekly,948,Y,2013-07-27 00:00:00,2013-07-14 00:00:00,R,Reg
1,None,2013-08-02 00:00:00,1,DOCTOR,Doctor BiWeekly,1000,Y,2013-07-27 00:00:00,2013-07-14 00:00:00,R,Reg
1,None,2013-07-19 00:00:00,1,DOCTM,Doctor Monthly,1018,Y,2013-07-31 00:00:00,2013-07-01 00:00:00,R,Reg
1,None,2013-07-05 00:00:00,1,SALARY,Salaried Biweekly,972,Y,2013-06-29 00:00:00,2013-06-16 00:00:00,R,Reg
1,None,2013-07-05 00:00:00,1,HOURLY,Hourly BiWeekly,946,Y,2013-06-29 00:00:00,2013-06-16 00:00:00,R,Reg
1,None,2013-07-05 00:00:00,1,DOCTOR,Doctor BiWeekly,998,Y,2013-06-29 00:00:00,2013-06-16 00:00:00,R,Reg
1,None,2013-06-07 00:00:00,1,SALARY,Salaried Biweekly,970,Y,2013-06-01 00:00:00,2013-05-19 00:00:00,R,Reg
1,None,2013-06-07 00:00:00,1,HOURLY,Hourly BiWeekly,944,Y,2013-06-01 00:00:00,2013-05-19 00:00:00,R,Reg
1,None,2013-06-07 00:00:00,1,DOCTOR,Doctor BiWeekly,996,Y,2013-06-01 00:00:00,2013-05-19 00:00:00,R,Reg
1,None,2013-05-24 00:00:00,1,DOCTM,Doctor Monthly,1016,Y,2013-05-31 00:00:00,2013-05-01 00:00:00,R,Reg
1,None,2013-05-10 00:00:00,1,SALARY,Salaried Biweekly,968,Y,2013-05-04 00:00:00,2013-04-21 00:00:00,R,Reg
1,None,2013-05-10 00:00:00,1,HOURLY,Hourly BiWeekly,942,Y,2013-05-04 00:00:00,2013-04-21 00:00:00,R,Reg
1,None,2013-05-10 00:00:00,1,DOCTOR,Doctor BiWeekly,994,Y,2013-05-04 00:00:00,2013-04-21 00:00:00,R,Reg
1,None,2013-04-26 00:00:00,1,DOCTM,Doctor Monthly,1015,Y,2013-04-30 00:00:00,2013-04-01 00:00:00,R,Reg
1,None,2013-04-12 00:00:00,1,SALARY,Salaried Biweekly,966,Y,2013-04-06 00:00:00,2013-03-24 00:00:00,R,Reg
1,None,2013-04-12 00:00:00,1,HOURLY,Hourly BiWeekly,940,Y,2013-04-06 00:00:00,2013-03-24 00:00:00,R,Reg
1,None,2013-04-12 00:00:00,1,DOCTOR,Doctor BiWeekly,992,Y,2013-04-06 00:00:00,2013-03-24 00:00:00,R,Reg
1,None,2013-03-01 00:00:00,1,SALARY,Salaried Biweekly,963,Y,2013-02-23 00:00:00,2013-02-10 00:00:00,R,Reg
1,None,2013-03-01 00:00:00,1,HOURLY,Hourly BiWeekly,937,Y,2013-02-23 00:00:00,2013-02-10 00:00:00,R,Reg
1,None,2013-03-01 00:00:00,1,DOCTOR,Doctor BiWeekly,989,Y,2013-02-23 00:00:00,2013-02-10 00:00:00,R,Reg
1,None,2013-02-15 00:00:00,1,DOCTM,Doctor Monthly,1013,Y,2013-02-28 00:00:00,2013-02-01 00:00:00,R,Reg
1,None,2013-02-01 00:00:00,1,SALARY,Salaried Biweekly,961,Y,2013-01-26 00:00:00,2013-01-13 00:00:00,R,Reg
1,None,2013-02-01 00:00:00,1,HOURLY,Hourly BiWeekly,935,Y,2013-01-26 00:00:00,2013-01-13 00:00:00,R,Reg
1,None,2013-02-01 00:00:00,1,DOCTOR,Doctor BiWeekly,987,Y,2013-01-26 00:00:00,2013-01-13 00:00:00,R,Reg
1,None,2013-01-18 00:00:00,1,DOCTM,Doctor Monthly,1012,Y,2013-01-31 00:00:00,2013-01-01 00:00:00,R,Reg
1,None,2013-01-04 00:00:00,1,SALARY,Salaried Biweekly,959,Y,2012-12-29 00:00:00,2012-12-16 00:00:00,R,Reg
1,None,2013-01-04 00:00:00,1,HOURLY,Hourly BiWeekly,933,Y,2012-12-29 00:00:00,2012-12-16 00:00:00,R,Reg
1,None,2013-01-04 00:00:00,1,DOCTOR,Doctor BiWeekly,985,Y,2012-12-29 00:00:00,2012-12-16 00:00:00,R,Reg
1,None,2012-12-21 00:00:00,1,DOCTM,Doctor Monthly,919,Y,2012-12-31 00:00:00,2012-12-01 00:00:00,R,Reg
1,None,2012-12-07 00:00:00,1,SALARY,Salaried Biweekly,876,Y,2012-12-01 00:00:00,2012-11-18 00:00:00,R,Reg
1,None,2012-12-07 00:00:00,1,HOURLY,Hourly BiWeekly,850,Y,2012-12-01 00:00:00,2012-11-18 00:00:00,R,Reg
1,None,2012-12-07 00:00:00,1,DOCTOR,Doctor BiWeekly,902,Y,2012-12-01 00:00:00,2012-11-18 00:00:00,R,Reg
1,None,2012-11-23 00:00:00,1,DOCTM,Doctor Monthly,918,Y,2012-11-30 00:00:00,2012-11-01 00:00:00,R,Reg
1,None,2012-11-09 00:00:00,1,SALARY,Salaried Biweekly,874,Y,2012-11-03 00:00:00,2012-10-21 00:00:00,R,Reg
1,None,2012-11-09 00:00:00,1,HOURLY,Hourly BiWeekly,848,Y,2012-11-03 00:00:00,2012-10-21 00:00:00,R,Reg
1,None,2012-11-09 00:00:00,1,DOCTOR,Doctor BiWeekly,900,Y,2012-11-03 00:00:00,2012-10-21 00:00:00,R,Reg
1,None,2012-10-26 00:00:00,1,DOCTM,Doctor Monthly,917,Y,2012-10-31 00:00:00,2012-10-01 00:00:00,R,Reg
1,None,2012-10-12 00:00:00,1,SALARY,Salaried Biweekly,872,Y,2012-10-06 00:00:00,2012-09-23 00:00:00,R,Reg
1,None,2012-10-12 00:00:00,1,HOURLY,Hourly BiWeekly,846,Y,2012-10-06 00:00:00,2012-09-23 00:00:00,R,Reg
1,None,2012-10-12 00:00:00,1,DOCTOR,Doctor BiWeekly,898,Y,2012-10-06 00:00:00,2012-09-23 00:00:00,R,Reg
