Id,EmployeeId,Starts,Ends,MissPunch,Tardy,SchHr,RegHr,Ot1,Ot2,Ot3,Ot4,Ot5,PayAmt,Submit,Approve,SysUpdate,EarlyIn,GraceIn,EarlyOut,LateOut,LongMeal,ShortMeal,LongBreak,ShortBreak,Absences,DayApprove,Status,AutoMeal,EarlyOutG,NoMeal,Overtime,ShortWkDay,AppPunch,AuthOt,PaidBrk,MlPremCnt,MlPremWav,BkPremCnt,BkPremWav
316368,1106,2023-06-18T00:00:00-04:00,2023-07-01T00:00:00-04:00,1,0,0,56,1.05,0,0,0,0,0,FALSE,FALSE,2023-06-23T10:31:22.893-04:00,0,0,0,0,3,0,0,0,1,,0,0,0,3,1.05,0,9,0,0,0,0,0,0
522780,5081,2023-06-04T00:00:00-04:00,2023-06-17T00:00:00-04:00,0,0,0,80,10.4834,0,0,0,0,0,FALSE,FALSE,2023-06-17T19:29:30.36-04:00,0,0,0,0,5,3,0,0,2,2.22222E+13,3,0,0,3,10.48,0,18,0,0,0,0,0,0
529247,1106,2023-06-04T00:00:00-04:00,2023-06-17T00:00:00-04:00,0,0,0,80,7.7,0,0,0,0,0,FALSE,FALSE,2023-06-19T11:13:59.783-04:00,0,0,0,0,8,1,0,0,4,2.22222E+13,3,0,0,5,7.7,0,17,0,0,0,0,0,0
529981,1038,2023-06-04T00:00:00-04:00,2023-06-17T00:00:00-04:00,0,0,0,79.4401,0.5666,0,0,0,0,0,FALSE,FALSE,2023-06-19T12:48:36.953-04:00,0,0,0,0,0,6,0,0,2,2.22222E+41,3,0,0,2,0.57,0,17,0,0,0,0,0,0
530134,5338,2023-06-04T00:00:00-04:00,2023-06-17T00:00:00-04:00,0,0,0,80.0034,0,0,0,0,0,0,FALSE,FALSE,2023-06-17T20:28:40.3-04:00,0,0,0,0,0,1,0,0,2,,3,0,0,0,0,0,13,0,0,0,0,0,0
530135,5338,2023-06-18T00:00:00-04:00,2023-07-01T00:00:00-04:00,0,0,0,44.4,0,0,0,0,0,0,FALSE,FALSE,2023-06-23T10:31:08.567-04:00,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,0,0,0,0,0
530800,1065,2023-06-04T00:00:00-04:00,2023-06-17T00:00:00-04:00,0,0,0,32,0,0,0,0,0,0,FALSE,FALSE,2023-06-17T20:07:43.87-04:00,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,4,0,0,0,0,0,0
530801,1065,2023-06-18T00:00:00-04:00,2023-07-01T00:00:00-04:00,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,2023-06-23T10:31:48.777-04:00,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
530949,5913,2023-06-04T00:00:00-04:00,2023-06-17T00:00:00-04:00,0,0,0,79.4033,0.6,0,0,0,0,0,FALSE,FALSE,2023-06-18T14:34:45.583-04:00,0,0,0,0,0,7,0,0,4,2.22222E+13,3,0,0,4,0.6,0,18,0,0,0,0,0,0
531751,1066,2023-06-18T00:00:00-04:00,2023-07-01T00:00:00-04:00,0,0,0,56,20.7333,0,0,0,0,0,FALSE,FALSE,2023-06-23T10:31:13.96-04:00,0,0,0,0,4,4,0,0,0,,0,0,0,5,20.73,0,16,0,0,0,0,0,0
